,Digits BIC,Segmentation BIC
2,21333.010740401878,-109400.64888565081
3,-71300.0496830164,-149818.04069711824
4,-78441.0355744662,-162474.59938826956
5,-71376.63078393065,-160136.87937713746
6,-76011.50848114117,-160503.4644238258
7,-48486.5905365669,-166554.89701226048
8,-91952.06887605587,-168391.45738628303
9,-36250.02309695934,-177460.78317221487
10,-42755.43849262339,-184160.60317644852
11,-34369.364190771885,-191913.1218295977
12,-25725.29062608129,-190807.9713346921
13,-13413.532102476078,-193745.94160054732
14,1064.6658808402135,-192011.5880836258
16,16572.533333960455,-186081.78939316949
18,29742.81104821182,-189052.6921966859
20,48562.524729382945,-189096.45682105134
25,92357.4416940647,-190101.26923096462
30,133487.82468101894,-188258.62396080035
