,Digits SSE,Segmentation
2,100429.19697377704,28773.926045431068
3,93839.60449350417,23662.58409919866
4,89113.31473218353,19367.28168139264
5,85180.18859010603,15825.48235371036
6,81677.3203400937,14004.908057427727
7,78314.60135891565,12997.537076517627
8,75147.25984210393,12073.492298573317
9,72019.10528602489,11299.43369092407
10,69406.18594429421,10699.394299239095
11,67290.69866043498,10012.79796933613
12,65184.30213551862,9454.6031336805
13,62960.32596447654,9111.036679090535
14,62132.22465140721,8548.687480748635
16,58952.56074285142,7968.729428108531
18,56283.128293805494,7237.637290385988
20,54358.21839065239,6876.090966225653
25,48226.409774130945,5561.386309601994
30,44891.230131091026,4923.05020663438
