,Digits BIC,Segmentation BIC
2,85050.57210616281,21144.702786118767
3,77244.67825279209,10100.498150262407
4,68705.7749106685,-8452.865234258426
5,62080.9512995445,-12641.60699765888
6,61139.906507717205,-19816.662986845477
7,63421.105673352446,-12190.12208865552
8,56653.189287239526,-21191.539347647227
9,54556.36319541516,-22125.3686110871
10,53199.15291508217,-29438.701035650214
11,53242.48182038637,-33495.07246309844
12,54546.40756685781,-32514.673923784023
13,52602.201800662566,-36916.84447159267
14,52701.156777777585,-38147.70622510712
16,53310.047032132934,-37437.90398388593
18,53357.672505376686,-44203.85602787604
20,54901.30632165571,-41699.08549960587
25,59843.0333211863,-42952.2068917888
30,64106.007325773346,-41242.28823182813
