,Digits BIC,Segmentation BIC
2,81360.65052966494,21144.702786134367
3,67356.70918591863,10100.49815018245
4,72204.21250877665,-8452.865234417566
5,71181.52408210083,-12641.606997623687
6,68648.39538147736,-19816.662986860618
7,62651.44965251833,-12190.12208860934
8,55746.1094314154,-21191.539347609385
9,53962.73198557875,-22125.36861100809
10,54548.29813024198,-29438.701035703532
11,54081.397084435215,-33495.07246318852
12,54973.87860810681,-32514.6739238
13,53147.837044167885,-36916.84447173043
14,53958.56011579149,-38147.70622499638
16,53925.55396860143,-37437.90398392272
18,53937.78762583138,-44203.856027941176
20,56572.82678322807,-41699.08549968333
25,60895.48603093592,-42952.206891828995
30,63977.13249251184,-41242.288231882325
