,Digits BIC,Segmentation BIC
2,108704.39293233328,15456.751582322782
3,105842.18462508841,11044.652225766024
4,106929.54433211562,7034.2998072158125
5,97601.97775165168,5384.601396745335
6,101244.9687380102,5306.226854899583
7,99654.61170805458,2773.0977635687173
8,99475.84608200059,2638.3146799954084
9,104805.99224061481,2602.5026171614004
10,100706.34544819426,2293.156452658891
11,105736.51750759066,1333.1847141961575
12,107198.89032917708,1721.236193925412
13,97809.57518049676,481.3896930698445
14,101847.86021711063,-226.51112512839768
16,107539.72305579451,-504.9218546953109
18,121651.70696669747,-411.34563097358614
20,121601.01889723113,-561.4981203126167
25,136311.10257352836,-883.1375869296976
30,149679.74428742696,-967.2470453695464
