,Digits BIC,Segmentation BIC
2,94872.42085562773,31732.89220012761
3,91358.48578426914,20761.54569505678
4,87943.15256568084,19081.950041090415
5,84960.62574891545,9724.62986326542
6,83299.76714495635,6064.3065319543175
7,85534.79613020184,5399.6282476428005
8,83472.24193406983,8810.977629598237
9,85992.73682594972,4518.838184742841
10,85147.50941746385,3283.330025089331
11,85565.26464265463,3043.526326272334
12,86920.01720580025,1365.6175414620361
13,88763.87660540393,-919.5595302067595
14,88156.94976332178,-815.9254058931074
16,90902.61625130079,-3215.2008390143646
18,92652.88971086794,-2179.1276803924766
20,97244.0735689998,-3950.349986390893
25,103628.83115264506,-6196.211312889314
30,111638.15656193874,-7359.533224293395
