,Digits SSE,Segmentation
2,34459.096117356865,27873.555082129846
3,33129.46633086072,25969.388398508265
4,31901.11105820365,23993.983488155856
5,30586.55138538646,22276.72027923624
6,29190.648977868514,20711.465102508064
7,28231.17257058852,19185.742569114605
8,26596.3578494861,17038.416431157333
9,24963.183233154734,16020.082973731583
10,24539.35102212886,14624.318915606755
11,23181.460227592124,13605.70124391867
12,21984.90187394479,12571.025718721085
13,20732.104448389844,11687.854799462772
14,19863.793384337074,11067.739693608142
16,17956.0107464447,10361.42814789138
18,16846.50743298985,9688.732714034606
20,15990.72821173853,9270.343182009141
25,14315.4668215856,7948.53385488602
30,12941.569897879666,6904.437454190012
