,Digits SSE,Segmentation
2,34458.4798893462,27873.55508212984
3,33041.89677894843,25969.388398508265
4,31694.434456983177,23993.983488155845
5,30319.999865576363,22276.720279236244
6,29151.81625628526,20711.46510250806
7,27695.960599944665,19185.742569114605
8,26825.65312626172,17038.41643115733
9,24971.80965530939,16020.08297373159
10,24078.864717873832,14624.31891560675
11,22962.034209688223,13605.701243918666
12,22079.14296214784,12571.025718721083
13,21374.079378158855,11687.85479946277
14,20040.892705726936,11067.739693608142
16,18334.402928578787,10361.428147891378
18,16946.36504943885,9688.732714034602
20,15950.725075756698,9270.34318200914
25,14154.73261703357,7948.533854886017
30,12907.700259080593,6904.437454190011
