,Digits SSE,Segmentation
2,55229.45493901663,4745.469874705546
3,49858.546662552704,2488.6299770963956
4,46283.715112027596,1587.3885125231366
5,43086.41317654481,1123.7843931847792
6,39967.69205205248,961.3047361898575
7,37544.821934075895,837.8933870376977
8,35411.00226481081,747.5224489420782
9,34006.17393765994,677.8700175349675
10,32874.10406707613,611.7944982406646
11,32114.32149720267,547.6940990564207
12,31072.21832495447,487.88457031399037
13,30212.49652419019,454.16956092138366
14,29434.73625786245,423.816519010881
16,28275.577239660553,381.4186413051102
18,27433.05527589954,351.0542670480569
20,26622.82542262628,318.37779387222145
25,24934.71640216696,257.21922211046063
30,23442.74213747539,219.5024007836581
