,Digits SSE,Segmentation
2,39996.848237936734,12616.792269035293
3,37172.07022747772,10190.79265954476
4,35073.136343957434,8637.600251517462
5,33407.70634860295,7242.216659866039
6,31975.054320285788,6304.214555422717
7,30463.349381206513,5621.351420346207
8,29507.601227915708,5088.083993462277
9,28582.66076383162,4656.60202035419
10,27265.065500716853,4407.09794349923
11,26114.294786011335,4149.064649289521
12,25226.056851290654,3908.911334280955
13,24868.455675469784,3705.1566298144276
14,23733.226661384873,3509.5524561472703
16,22622.749406251027,3205.478874432847
18,21288.527461254238,2899.033725586427
20,20757.717682551658,2722.348934198552
25,18448.520673801082,2209.6117425101233
30,17121.764036534776,1950.0728757243537
