,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_clf__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.049041128158569335,0.0004014492034912109,0.2696969696969697,0.26222943722943726,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 2}",584,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.1444805194805195,0.5043290043290043,0.42694805194805197,0.14285714285714285,0.14285714285714285,0.4155844155844156,0.454004329004329,0.03785883108095198,0.00020072479289950053,0.15786092839040478,0.14579034817747277
1,0.024565458297729492,0.00030069351196289064,0.2515151515151515,0.24794372294372297,"(25,)",0.001,3,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 3}",585,0.19696969696969696,0.20562770562770563,0.22943722943722944,0.19426406926406928,0.4588744588744589,0.45995670995670995,0.19913419913419914,0.20292207792207792,0.17316017316017315,0.17694805194805194,0.009068269366654618,0.0002455152707302587,0.10520816547086588,0.1064790975012529
2,0.0879446029663086,0.00030083656311035155,0.6307359307359307,0.6808441558441558,"(25,)",0.001,4,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 4}",491,0.7489177489177489,0.7451298701298701,0.49567099567099565,0.5108225108225108,0.5822510822510822,0.6612554112554112,0.6493506493506493,0.7673160173160173,0.6774891774891775,0.7196969696969697,0.031719181557903715,0.00024563207148103964,0.08613086925897044,0.0920984861138814
3,0.09887428283691406,0.0003006458282470703,0.6783549783549784,0.7253246753246753,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 5}",483,0.6904761904761905,0.7067099567099567,0.7813852813852814,0.7537878787878788,0.6363636363636364,0.645021645021645,0.6623376623376623,0.7905844155844156,0.6212121212121212,0.7305194805194806,0.02341024705242324,0.0002454765841478688,0.056652096983050654,0.048766911069131724
4,0.09516434669494629,0.0004005908966064453,0.6264069264069264,0.6944805194805195,"(25,)",0.001,6,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 6}",492,0.7532467532467533,0.7472943722943723,0.6103896103896104,0.6547619047619048,0.5909090909090909,0.6287878787878788,0.5735930735930735,0.7310606060606061,0.6038961038961039,0.7104978354978355,0.010477934286722893,0.00020029870485715028,0.06465451660842308,0.045336633293588675
5,0.07319455146789551,0.000501251220703125,0.6974025974025974,0.735930735930736,"(25,)",0.001,7,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 7}",476,0.7727272727272727,0.7532467532467533,0.6818181818181818,0.7234848484848485,0.658008658008658,0.6893939393939394,0.6774891774891775,0.7867965367965368,0.696969696969697,0.7267316017316018,0.013692748920964068,1.9073486328125e-07,0.03966180751877526,0.03253420283223333
6,0.07139010429382324,0.00030074119567871096,0.7393939393939394,0.7780303030303031,"(25,)",0.001,8,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 8}",458,0.6515151515151515,0.6731601731601732,0.7878787878787878,0.7765151515151515,0.7337662337662337,0.7727272727272727,0.7489177489177489,0.8511904761904762,0.7748917748917749,0.8165584415584416,0.01694340355573125,0.00024555417344847345,0.0478663393945119,0.05977456038944423
7,0.08895249366760254,0.0,0.7822510822510822,0.8137445887445887,"(25,)",0.001,9,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 9}",417,0.8376623376623377,0.8073593073593074,0.7922077922077922,0.841991341991342,0.7943722943722944,0.7992424242424242,0.7424242424242424,0.8544372294372294,0.7445887445887446,0.7656926406926406,0.024755710567299076,0.0,0.03555586008377675,0.03166652611426615
8,0.09694151878356934,0.0,0.7740259740259741,0.8295454545454545,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 10}",424,0.816017316017316,0.823051948051948,0.7489177489177489,0.7981601731601732,0.7922077922077922,0.83495670995671,0.7272727272727273,0.8641774891774892,0.7857142857142857,0.8273809523809523,0.006382536589189794,0.0,0.03177029113750437,0.021262860069684517
9,0.09623870849609376,0.00322575569152832,0.7675324675324675,0.8015151515151515,"(25,)",0.001,11,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 11}",439,0.6883116883116883,0.698051948051948,0.7683982683982684,0.8014069264069265,0.7792207792207793,0.7748917748917749,0.7792207792207793,0.8912337662337663,0.8225108225108225,0.841991341991342,0.023391158565109496,0.0062038541858915235,0.04375507798612391,0.06496337766598122
