,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustGMM__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.1151059627532959,0.006016349792480469,0.8246753246753247,0.8613636363636363,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 2}",366,0.9112554112554112,0.8701298701298701,0.8441558441558441,0.8576839826839827,0.803030303030303,0.8566017316017316,0.7229437229437229,0.8474025974025974,0.841991341991342,0.875,0.02364807148664855,0.0022643937344976298,0.06163322519554772,0.00993904889516784
1,0.1260371208190918,0.009926223754882812,0.8372294372294372,0.8735930735930737,"(25,)",0.001,3,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 3}",338,0.9523809523809523,0.8917748917748918,0.8463203463203464,0.8668831168831169,0.8181818181818182,0.8896103896103896,0.7532467532467533,0.8690476190476191,0.816017316017316,0.8506493506493507,0.023121328057272607,0.0024844195114139644,0.0651281400877149,0.015357291580144379
2,0.1252354621887207,0.008622884750366211,0.8242424242424242,0.8674242424242424,"(25,)",0.001,4,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 4}",367,0.8809523809523809,0.8436147186147186,0.8354978354978355,0.8641774891774892,0.8116883116883117,0.8760822510822511,0.7554112554112554,0.8869047619047619,0.8376623376623377,0.8663419913419913,0.008101548511860986,0.0031291310117449547,0.041032019432286695,0.014373989364401726
3,0.13475923538208007,0.012031316757202148,0.8134199134199134,0.8617965367965368,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 5}",381,0.8809523809523809,0.8468614718614719,0.8333333333333334,0.8511904761904762,0.8116883116883117,0.875,0.70995670995671,0.8647186147186147,0.8311688311688312,0.8712121212121212,0.019065225712222404,0.004756075825179544,0.05653288504995112,0.011018783018364006
4,0.16032676696777343,0.015541362762451171,0.8112554112554112,0.85487012987013,"(25,)",0.001,6,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 6}",386,0.9134199134199135,0.8566017316017316,0.8138528138528138,0.8446969696969697,0.7943722943722944,0.8392857142857143,0.7251082251082251,0.875,0.8095238095238095,0.8587662337662337,0.016258870153263764,0.011196711910072467,0.06025563502959268,0.012407714846724245
5,0.1627328872680664,0.01864962577819824,0.8069264069264069,0.8597402597402597,"(25,)",0.001,7,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 7}",394,0.8917748917748918,0.841991341991342,0.8441558441558441,0.8484848484848485,0.7337662337662337,0.8712121212121212,0.7402597402597403,0.8771645021645021,0.8246753246753247,0.8598484848484849,0.02346073470373415,0.009322356279932968,0.0611509212359601,0.01324332213720323
6,0.17065782546997071,0.027472972869873047,0.8251082251082251,0.8606060606060606,"(25,)",0.001,8,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 8}",364,0.9437229437229437,0.8474025974025974,0.8246753246753247,0.8555194805194806,0.7662337662337663,0.875,0.7792207792207793,0.8966450216450217,0.8116883116883117,0.8284632034632035,0.04084663074372615,0.006002659279105482,0.06296283435307734,0.023406666601174454
7,0.1957263946533203,0.029973220825195313,0.8173160173160173,0.8576839826839826,"(25,)",0.001,9,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 9}",377,0.9502164502164502,0.854978354978355,0.8441558441558441,0.8576839826839827,0.8116883116883117,0.8825757575757576,0.7251082251082251,0.8571428571428571,0.7554112554112554,0.836038961038961,0.03112699515445179,0.007228798442083542,0.07842072293834977,0.014803517537456897
8,0.2150717258453369,0.03379559516906738,0.8012987012987013,0.8655844155844156,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 10}",400,0.9415584415584416,0.8685064935064936,0.854978354978355,0.8522727272727273,0.7380952380952381,0.8679653679653679,0.6341991341991342,0.8538961038961039,0.8376623376623377,0.8852813852813853,0.06745422558423128,0.004359682310440442,0.1056348021177286,0.011966584848627986
9,0.21066045761108398,0.03920445442199707,0.8324675324675325,0.8853896103896103,"(25,)",0.001,11,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 11}",350,0.9458874458874459,0.8760822510822511,0.854978354978355,0.8998917748917749,0.7662337662337663,0.8825757575757576,0.7705627705627706,0.8896103896103896,0.8246753246753247,0.8787878787878788,0.016697749075733553,0.011350051399188443,0.0658037137683973,0.008558683515050864
